No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
10,岩本　貴裕,外野手,1986/04/18,27歳,5年,182cm,90kg,A型,左左,広島,"1,900万円",広島,2013
11,福井　優也,投手,1988/02/08,25歳,3年,178cm,78kg,A型,右右,岡山,"2,400万円",広島,2013
12,上野　弘文,投手,1981/04/10,32歳,7年,176cm,83kg,O型,右右,鹿児島,"1,350万円",広島,2013
13,キラ,内野手,1984/03/29,29歳,1年,193cm,106kg,不明,右左,アメリカ,"3,500万円",広島,2013
14,篠田　純平,投手,1985/04/20,28歳,6年,187cm,85kg,A型,左左,神奈川,"1,900万円",広島,2013
16,今村　猛,投手,1991/04/17,22歳,4年,183cm,83kg,B型,右右,長崎,"5,000万円",広島,2013
17,大竹　寛,投手,1983/05/21,30歳,12年,183cm,90kg,B型,右右,埼玉,"10,000万円",広島,2013
18,前田　健太,投手,1988/04/11,25歳,7年,182cm,73kg,A型,右右,大阪,"21,000万円",広島,2013
19,野村　祐輔,投手,1989/06/24,24歳,2年,177cm,78kg,AB型,右右,岡山,"4,000万円",広島,2013
20,永川　勝浩,投手,1980/12/14,33歳,11年,188cm,97kg,O型,右右,広島,"4,000万円",広島,2013
21,齊藤　悠葵,投手,1987/06/20,26歳,8年,186cm,86kg,O型,左左,福井,"1,500万円",広島,2013
22,中村　恭平,投手,1989/03/22,24歳,3年,185cm,74kg,O型,左左,福岡,"1,000万円",広島,2013
23,横山　竜士,投手,1976/06/11,37歳,19年,178cm,80kg,B型,右右,福井,"4,000万円",広島,2013
24,河内　貴哉,投手,1982/01/06,31歳,14年,188cm,90kg,O型,左左,京都,800万円,広島,2013
25,高橋　大樹,外野手,1994/05/11,19歳,1年,181cm,80kg,O型,右右,大阪,700万円,広島,2013
26,廣瀬　純,外野手,1979/03/29,34歳,13年,181cm,87kg,B型,右右,大分,"6,000万円",広島,2013
27,上村　和裕,捕手,1983/02/20,30歳,13年,178cm,85kg,O型,右右,北海道,650万円,広島,2013
28,岩見　優輝,投手,1987/01/25,26歳,3年,177cm,77kg,A型,左左,大阪,950万円,広島,2013
29,江草　仁貴,投手,1980/09/03,33歳,11年,178cm,82kg,A型,左左,広島,"2,500万円",広島,2013
30,金丸　将也,投手,1987/03/19,26歳,3年,187cm,90kg,A型,左左,宮崎,800万円,広島,2013
31,石原　慶幸,捕手,1979/09/07,34歳,12年,177cm,82kg,A型,右右,岐阜,"8,000万円",広島,2013
32,白濱　裕太,捕手,1985/10/31,28歳,10年,180cm,85kg,A型,右右,大阪,800万円,広島,2013
33,菊池　涼介,内野手,1990/03/11,23歳,2年,171cm,69kg,A型,右右,東京,"1,500万円",広島,2013
34,中田　廉,投手,1990/07/21,23歳,5年,189cm,90kg,AB型,右右,大阪,"1,200万円",広島,2013
35,下水流　昂,外野手,1988/04/23,25歳,1年,178cm,85kg,A型,右右,神奈川,840万円,広島,2013
36,菊地原　毅,投手,1975/03/07,38歳,21年,185cm,90kg,A型,左左,神奈川,600万円,広島,2013
37,松山　竜平,外野手,1985/09/18,28歳,6年,176cm,94kg,B型,右左,鹿児島,"1,100万円",広島,2013
38,赤松　真人,外野手,1982/09/06,31歳,9年,182cm,75kg,O型,右右,京都,"2,800万円",広島,2013
39,梅津　智弘,投手,1983/03/03,30歳,9年,191cm,88kg,O型,右右,山形,"2,300万円",広島,2013
40,倉　義和,捕手,1975/07/27,38歳,16年,179cm,80kg,O型,右右,京都,"3,300万円",広島,2013
41,ルイス,外野手,1980/12/09,33歳,1年,188cm,93kg,不明,右左,アメリカ,"4,000万円",広島,2013
42,バリントン,投手,1980/09/30,33歳,3年,193cm,95kg,不明,右右,アメリカ,"12,500万円",広島,2013
43,土生　翔平,外野手,1989/08/16,24歳,2年,180cm,81kg,O型,右左,広島,900万円,広島,2013
44,迎　祐一郎,外野手,1981/12/22,32歳,14年,180cm,79kg,AB型,右右,佐賀,"1,100万円",広島,2013
45,松本　高明,内野手,1984/04/12,29歳,11年,177cm,73kg,B型,右左,東京,850万円,広島,2013
46,大島　崇行,投手,1983/12/20,30歳,12年,185cm,83kg,O型,左左,山梨,900万円,広島,2013
47,小野　淳平,投手,1987/04/05,26歳,4年,178cm,81kg,B型,右右,大分,"1,350万円",広島,2013
48,岸本　秀樹,投手,1982/10/18,31歳,9年,189cm,85kg,A型,右右,京都,"1,900万円",広島,2013
49,天谷　宗一郎,外野手,1983/11/08,30歳,12年,178cm,83kg,O型,左左,福井,"3,000万円",広島,2013
50,鈴木　将光,外野手,1987/04/08,26歳,8年,182cm,82kg,A型,右右,富山,600万円,広島,2013
51,鈴木　誠也,内野手,1994/08/18,19歳,1年,181cm,83kg,A型,右右,富山,600万円,広島,2013
52,庄司　隼人,内野手,1991/06/21,22歳,4年,175cm,70kg,A型,右左,静岡,550万円,広島,2013
53,戸田　隆矢,投手,1993/06/10,20歳,2年,181cm,68kg,A型,左左,兵庫,550万円,広島,2013
54,武内　久士,投手,1987/11/29,26歳,4年,185cm,95kg,A型,右右,徳島,700万円,広島,2013
55,エルドレッド,内野手,1980/07/12,33歳,2年,196cm,122kg,不明,右右,アメリカ,"6,850万円",広島,2013
56,中崎　翔太,投手,1992/08/10,21歳,3年,186cm,90kg,B型,右右,鹿児島,800万円,広島,2013
57,ミコライオ,投手,1984/05/10,29歳,2年,205cm,115kg,不明,右右,アメリカ,"7,560万円",広島,2013
58,ソコロビッチ,投手,1986/07/24,27歳,1年,185cm,86kg,不明,右右,ベネズエラ,"3,000万円",広島,2013
59,美間　優槻,内野手,1994/05/26,19歳,1年,177cm,80kg,B型,右右,徳島,500万円,広島,2013
60,安部　友裕,内野手,1989/06/24,24歳,6年,181cm,80kg,O型,右左,福岡,950万円,広島,2013
61,磯村　嘉孝,捕手,1992/11/01,21歳,3年,178cm,82kg,A型,右右,愛知,550万円,広島,2013
62,今井　啓介,投手,1987/05/24,26歳,8年,183cm,80kg,B型,右右,新潟,"1,800万円",広島,2013
63,丸　佳浩,外野手,1989/04/11,24歳,6年,177cm,80kg,AB型,右左,千葉,"2,300万円",広島,2013
64,會澤　翼,捕手,1988/04/13,25歳,7年,177cm,80kg,B型,右右,茨城,800万円,広島,2013
65,久本　祐一,投手,1979/03/14,34歳,12年,177cm,77kg,O型,左左,大阪,"1,000万円",広島,2013
66,木村　昇吾,内野手,1980/04/16,33歳,11年,182cm,77kg,A型,右左,大阪,"2,800万円",広島,2013
67,伊東　昂大,投手,1991/07/25,22歳,4年,186cm,78kg,O型,左左,神奈川,500万円,広島,2013
68,申　成鉉,内野手,1990/10/19,23歳,5年,183cm,85kg,A型,右右,韓国,450万円,広島,2013
69,弦本　悠希,投手,1989/06/16,24歳,3年,175cm,82kg,B型,右右,大阪,500万円,広島,2013
70,ニック,外野手,1982/05/03,31歳,2年,188cm,109kg,不明,右右,アメリカ,"2,000万円",広島,2013
99,中村　憲,外野手,1989/09/27,24歳,6年,186cm,85kg,B型,左左,京都,500万円,広島,2013
120,永川　光浩,投手,1987/11/02,26歳,4年,189cm,78kg,O型,左左,広島,400万円,広島,2013
121,池ノ内　亮介,投手,1988/11/22,25歳,3年,175cm,75kg,O型,右右,三重,400万円,広島,2013
123,富永　一,投手,1989/06/20,24歳,2年,179cm,81kg,AB型,右右,徳島,300万円,広島,2013
124,辻　空,投手,1994/04/24,19歳,1年,184cm,77kg,O型,右右,岐阜,250万円,広島,2013
125,山野　恭介,投手,1992/05/06,21歳,3年,180cm,85kg,A型,右右,大分,400万円,広島,2013
126,中村　亘佑,捕手,1991/04/02,22歳,4年,181cm,83kg,O型,右右,神奈川,350万円,広島,2013
127,中村　真崇,外野手,1983/11/07,30歳,2年,183cm,92kg,AB型,右右,福岡,300万円,広島,2013
128,中谷　翼,内野手,1984/09/30,29歳,8年,180cm,80kg,A型,右左,大阪,400万円,広島,2013
129,塚田　晃平,投手,1989/08/24,24歳,2年,192cm,89kg,O型,右右,東京,300万円,広島,2013
130,三家　和真,外野手,1993/08/13,20歳,2年,180cm,78kg,B型,右両,和歌山,250万円,広島,2013
136,森下　宗,外野手,1991/02/23,22歳,1年,176cm,76kg,B型,左左,静岡,300万円,広島,2013
141,小松　剛,投手,1986/09/26,27歳,5年,179cm,80kg,O型,右右,高知,600万円,広島,2013
0,柴田　講平,外野手,1986/07/17,27歳,5年,177cm,75kg,A型,左左,福岡,"1,500万円",阪神,2013
0,大和,内野手,1987/11/05,26歳,8年,177cm,62kg,A型,右右,鹿児島,"2,400万円",阪神,2013
1,鳥谷　敬,内野手,1981/06/26,32歳,10年,180cm,77kg,B型,右左,東京,"28,000万円",阪神,2013
2,北條　史也,内野手,1994/07/29,19歳,1年,177cm,75kg,O型,右右,大阪,720万円,阪神,2013
3,関本　賢太郎,内野手,1978/08/26,35歳,17年,186cm,94kg,O型,右右,奈良,"7,500万円",阪神,2013
4,上本　博紀,内野手,1986/07/04,27歳,5年,173cm,63kg,O型,右右,広島,"2,100万円",阪神,2013
5,浅井　良,外野手,1979/07/19,34歳,12年,177cm,81kg,O型,右右,神奈川,"3,000万円",阪神,2013
7,西岡　剛,内野手,1984/07/27,29歳,9年,182cm,80kg,A型,右両,大阪,"20,000万円",阪神,2013
8,福留　孝介,外野手,1977/04/26,36歳,10年,182cm,85kg,B型,右左,鹿児島,"15,000万円",阪神,2013
9,マートン,外野手,1981/10/03,32歳,4年,185cm,99kg,不明,右右,アメリカ,"24,600万円",阪神,2013
12,渡辺　亮,投手,1982/02/10,31歳,8年,175cm,70kg,O型,右右,徳島,"5,200万円",阪神,2013
13,榎田　大樹,投手,1986/08/07,27歳,3年,181cm,86kg,AB型,左左,鹿児島,"4,400万円",阪神,2013
14,能見　篤史,投手,1979/05/28,34歳,9年,180cm,73kg,AB型,左左,兵庫,"12,000万円",阪神,2013
15,藤原　正典,投手,1988/01/14,25歳,4年,182cm,81kg,B型,左左,岐阜,"1,200万円",阪神,2013
16,安藤　優也,投手,1977/12/27,36歳,12年,184cm,94kg,O型,右右,大分,"5,000万円",阪神,2013
17,伊藤　和雄,投手,1989/12/13,24歳,2年,185cm,91kg,A型,右右,埼玉,750万円,阪神,2013
18,二神　一人,投手,1987/06/03,26歳,4年,185cm,87kg,AB型,右右,高知,"1,000万円",阪神,2013
19,藤浪　晋太郎,投手,1994/04/12,19歳,1年,197cm,86kg,A型,右右,大阪,"1,500万円",阪神,2013
20,筒井　和也,投手,1981/10/05,32歳,10年,184cm,92kg,O型,左右,愛媛,"3,400万円",阪神,2013
21,岩田　稔,投手,1983/10/31,30歳,8年,179cm,91kg,O型,左左,大阪,"5,800万円",阪神,2013
24,桧山　進次郎,外野手,1969/07/01,44歳,22年,177cm,78kg,B型,右左,京都,"3,800万円",阪神,2013
25,新井　貴浩,内野手,1977/01/30,36歳,15年,189cm,97kg,B型,右右,広島,"25,000万円",阪神,2013
26,歳内　宏明,投手,1993/07/19,20歳,2年,184cm,84kg,B型,右右,兵庫,750万円,阪神,2013
27,秋山　拓巳,投手,1991/04/26,22歳,4年,187cm,91kg,A型,右左,香川,"1,000万円",阪神,2013
28,福原　忍,投手,1976/12/28,37歳,15年,180cm,96kg,O型,右右,広島,"7,000万円",阪神,2013
29,小嶋　達也,投手,1985/10/07,28歳,7年,181cm,79kg,A型,左左,大阪,"1,300万円",阪神,2013
30,久保田　智之,投手,1981/01/30,32歳,11年,181cm,96kg,AB型,右右,埼玉,"5,800万円",阪神,2013
31,林　威助,外野手,1979/01/22,34歳,11年,179cm,81kg,B型,左左,台湾,"2,000万円",阪神,2013
32,新井　良太,内野手,1983/08/16,30歳,8年,188cm,97kg,AB型,右右,広島,"2,800万円",阪神,2013
33,西田　直斗,内野手,1993/04/26,20歳,2年,186cm,72kg,O型,右左,大阪,600万円,阪神,2013
34,久保　康友,投手,1980/08/06,33歳,9年,181cm,76kg,B型,右右,奈良,"12,000万円",阪神,2013
35,坂　克彦,内野手,1985/09/06,28歳,10年,180cm,82kg,A型,右左,茨城,"1,100万円",阪神,2013
36,一二三　慎太,外野手,1992/09/29,21歳,3年,187cm,83kg,A型,右右,大阪,680万円,阪神,2013
37,日高　剛,捕手,1977/08/15,36歳,18年,182cm,88kg,A型,右左,福岡,"4,000万円",阪神,2013
38,黒瀬　春樹,内野手,1985/04/15,28歳,10年,180cm,80kg,B型,右右,岐阜,600万円,阪神,2013
39,小宮山　慎二,捕手,1985/11/26,28歳,10年,178cm,87kg,A型,右右,神奈川,"1,700万円",阪神,2013
40,高宮　和也,投手,1981/12/04,32歳,8年,173cm,73kg,A型,左左,大阪,"1,300万円",阪神,2013
41,田面　巧二郎,投手,1990/12/09,23歳,1年,177cm,90kg,A型,右右,群馬,840万円,阪神,2013
42,コンラッド,内野手,1980/01/16,33歳,1年,178cm,86kg,不明,右両,アメリカ,"7,000万円",阪神,2013
43,西村　憲,投手,1986/12/04,27歳,5年,182cm,80kg,A型,右右,福岡,"1,900万円",阪神,2013
44,ボイヤー,投手,1981/07/11,32歳,1年,191cm,102kg,不明,右右,アメリカ,"4,000万円",阪神,2013
45,清水　誉,捕手,1984/04/23,29歳,7年,178cm,78kg,A型,右右,兵庫,800万円,阪神,2013
46,鶴　直人,投手,1987/04/25,26歳,8年,180cm,77kg,A型,右左,大阪,"2,000万円",阪神,2013
47,清原　大貴,投手,1989/06/11,24歳,6年,181cm,81kg,O型,右右,茨城,600万円,阪神,2013
48,金田　和之,投手,1990/09/18,23歳,1年,184cm,77kg,O型,右右,鹿児島,720万円,阪神,2013
49,今成　亮太,捕手,1987/10/06,26歳,8年,178cm,76kg,O型,右左,埼玉,720万円,阪神,2013
50,藤井　彰人,捕手,1976/06/18,37歳,15年,170cm,81kg,AB型,右右,大阪,"4,200万円",阪神,2013
51,伊藤　隼太,外野手,1989/05/08,24歳,2年,176cm,80kg,O型,右左,愛知,"1,400万円",阪神,2013
52,小豆畑　眞也,捕手,1988/07/22,25歳,1年,181cm,83kg,B型,右右,岐阜,840万円,阪神,2013
54,メッセンジャー,投手,1981/08/13,32歳,4年,198cm,121kg,不明,右右,アメリカ,"12,300万円",阪神,2013
55,スタンリッジ,投手,1978/11/09,35歳,6年,191cm,110kg,不明,右右,アメリカ,"14,760万円",阪神,2013
56,松田　遼馬,投手,1994/02/08,19歳,2年,184cm,89kg,A型,右右,長崎,520万円,阪神,2013
57,岡崎　太一,捕手,1983/06/20,30歳,9年,180cm,85kg,O型,右右,奈良,"1,050万円",阪神,2013
58,荒木　郁也,内野手,1988/04/25,25歳,3年,183cm,74kg,B型,右左,東京,550万円,阪神,2013
59,岩本　輝,投手,1992/10/21,21歳,3年,182cm,80kg,O型,右左,山口,800万円,阪神,2013
60,中谷　将大,外野手,1993/01/05,20歳,3年,187cm,85kg,A型,右右,福岡,600万円,阪神,2013
61,田上　健一,外野手,1987/12/12,26歳,4年,181cm,71kg,A型,右左,神奈川,650万円,阪神,2013
62,高山　久,外野手,1981/11/16,32歳,14年,177cm,84kg,O型,右右,熊本,"1,900万円",阪神,2013
63,加藤　康介,投手,1978/07/02,35歳,13年,181cm,86kg,O型,左左,静岡,"2,600万円",阪神,2013
64,白仁田　寛和,投手,1985/10/02,28歳,6年,189cm,85kg,B型,右右,福岡,700万円,阪神,2013
65,緒方　凌介,外野手,1990/08/25,23歳,1年,176cm,75kg,O型,右左,大阪,660万円,阪神,2013
66,橋本　良平,捕手,1988/09/28,25歳,7年,183cm,94kg,B型,右右,大阪,530万円,阪神,2013
67,野原　将志,内野手,1988/04/04,25歳,7年,184cm,89kg,A型,右右,長崎,660万円,阪神,2013
68,俊介,外野手,1987/08/17,26歳,4年,178cm,70kg,A型,右右,福岡,"1,500万円",阪神,2013
69,森田　一成,内野手,1989/08/04,24歳,6年,185cm,96kg,A型,右左,岡山,800万円,阪神,2013
95,ザラテ,投手,1987/02/01,26歳,3年,191cm,93kg,不明,左左,ベネズエラ,600万円,阪神,2013
97,玉置　隆,投手,1986/09/11,27歳,9年,181cm,80kg,B型,右右,和歌山,600万円,阪神,2013
117,林　啓介,投手,1987/09/07,26歳,8年,184cm,78kg,O型,右右,福井,580万円,阪神,2013
120,狩野　恵輔,外野手,1982/12/17,31歳,13年,181cm,81kg,B型,右右,群馬,"1,200万円",阪神,2013
121,黒田　祐輔,外野手,1986/05/01,27歳,6年,192cm,82kg,B型,右右,静岡,440万円,阪神,2013
122,阪口　哲也,内野手,1992/08/31,21歳,3年,180cm,76kg,O型,右左,大阪,300万円,阪神,2013
124,原口　文仁,捕手,1992/03/03,21歳,4年,182cm,84kg,AB型,右右,埼玉,400万円,阪神,2013
125,藤井　宏政,内野手,1990/05/18,23歳,5年,183cm,84kg,B型,右右,兵庫,240万円,阪神,2013
126,島本　浩也,投手,1993/02/14,20歳,3年,176cm,63kg,B型,左左,奈良,300万円,阪神,2013
127,穴田　真規,内野手,1993/02/01,20歳,3年,180cm,81kg,O型,右右,大阪,300万円,阪神,2013
0,山崎　憲晴,内野手,1986/12/13,27歳,5年,176cm,79kg,O型,右右,静岡,"1,000万円",横浜,2013
0,藤井　秀悟,投手,1977/05/12,36歳,14年,175cm,86kg,A型,左左,愛媛,"3,700万円",横浜,2013
1,金城　龍彦,外野手,1976/07/27,37歳,15年,177cm,80kg,A型,右両,大阪,"3,000万円",横浜,2013
3,ラミレス,外野手,1974/10/03,39歳,13年,180cm,100kg,不明,右右,ベネズエラ,"35,000万円",横浜,2013
4,荒波　翔,外野手,1986/01/25,27歳,3年,179cm,78kg,A型,右左,神奈川,"3,000万円",横浜,2013
5,森本　稀哲,外野手,1981/01/31,32歳,15年,185cm,81kg,B型,右右,東京,"8,000万円",横浜,2013
6,松本　啓二朗,外野手,1986/06/24,27歳,5年,180cm,78kg,O型,左左,千葉,"1,100万円",横浜,2013
7,石川　雄洋,内野手,1986/07/10,27歳,9年,183cm,78kg,O型,右左,静岡,"5,000万円",横浜,2013
8,小池　正晃,外野手,1980/05/15,33歳,15年,182cm,88kg,A型,右右,神奈川,"3,000万円",横浜,2013
9,嶋村　一輝,内野手,1981/10/13,32歳,10年,180cm,87kg,B型,右右,山口,"1,500万円",横浜,2013
10,鶴岡　一成,捕手,1977/05/30,36歳,18年,183cm,85kg,A型,右右,兵庫,"4,000万円",横浜,2013
11,山口　俊,投手,1987/07/11,26歳,8年,187cm,90kg,O型,右右,大分,"10,000万円",横浜,2013
12,小林　寛,投手,1989/01/21,24歳,3年,180cm,87kg,AB型,右右,広島,800万円,横浜,2013
13,吉川　輝昭,投手,1981/11/13,32歳,10年,184cm,92kg,O型,右右,佐賀,"2,200万円",横浜,2013
14,小林　太志,投手,1983/05/11,30歳,6年,184cm,87kg,B型,右右,群馬,"2,400万円",横浜,2013
15,井納　翔一,投手,1986/05/01,27歳,1年,188cm,87kg,A型,右右,東京,"1,000万円",横浜,2013
16,加賀　繁,投手,1985/04/13,28歳,4年,182cm,84kg,B型,右右,埼玉,"4,000万円",横浜,2013
17,三嶋　一輝,投手,1990/05/07,23歳,1年,176cm,75kg,A型,右両,福岡,"1,200万円",横浜,2013
18,三浦　大輔,投手,1973/12/25,40歳,22年,183cm,88kg,B型,右右,奈良,"18,000万円",横浜,2013
19,藤江　均,投手,1986/01/27,27歳,5年,177cm,77kg,O型,右右,大阪,"3,400万円",横浜,2013
20,須田　幸太,投手,1986/07/31,27歳,3年,175cm,78kg,AB型,右右,茨城,"1,300万円",横浜,2013
21,加賀美　希昇,投手,1988/09/05,25歳,3年,187cm,92kg,O型,右右,神奈川,"1,400万円",横浜,2013
22,高崎　健太郎,投手,1985/06/24,28歳,7年,176cm,82kg,O型,右右,熊本,"5,500万円",横浜,2013
23,内村　賢介,内野手,1986/03/17,27歳,6年,163cm,65kg,B型,右両,東京,"4,000万円",横浜,2013
24,林　昌範,投手,1983/09/19,30歳,12年,186cm,80kg,O型,左左,千葉,"2,600万円",横浜,2013
25,筒香　嘉智,内野手,1991/11/26,22歳,4年,185cm,97kg,A型,右左,和歌山,"1,950万円",横浜,2013
26,井手　正太郎,外野手,1983/10/10,30歳,12年,179cm,85kg,O型,右右,宮崎,"1,000万円",横浜,2013
27,モーガン,外野手,1980/07/02,33歳,1年,183cm,84kg,不明,左左,アメリカ,"15,000万円",横浜,2013
28,北方　悠誠,投手,1994/01/25,19歳,2年,180cm,80kg,O型,右右,佐賀,620万円,横浜,2013
29,白崎　浩之,内野手,1990/08/20,23歳,1年,183cm,86kg,O型,右右,北海道,"1,500万円",横浜,2013
30,菊地　和正,投手,1982/06/27,31歳,9年,181cm,83kg,B型,右右,群馬,"2,600万円",横浜,2013
31,赤堀　大智,外野手,1987/04/13,26歳,1年,188cm,90kg,A型,右右,静岡,950万円,横浜,2013
32,高城　俊人,捕手,1993/05/03,20歳,2年,176cm,86kg,AB型,右右,福岡,800万円,横浜,2013
33,乙坂　智,外野手,1994/01/06,19歳,2年,182cm,80kg,O型,右左,神奈川,480万円,横浜,2013
34,篠原　貴行,投手,1976/09/07,37歳,16年,178cm,80kg,B型,左左,福岡,"2,800万円",横浜,2013
35,牛田　成樹,投手,1981/12/06,32歳,10年,188cm,89kg,A型,右右,徳島,"2,500万円",横浜,2013
36,細山田　武史,捕手,1986/04/29,27歳,5年,179cm,77kg,A型,右右,鹿児島,600万円,横浜,2013
37,桑原　将志,内野手,1993/07/21,20歳,2年,174cm,74kg,B型,右右,大阪,600万円,横浜,2013
